#,Material,Family,beta,k_soft,Ea(eV),sigma_0(S/m),r_eff(um),T_onset(K),T_pred(K),Error%,E(V/cm),J_crit(A/mm²),J_calc(mA/mm²),DOI
113,8YSZ,fluorite,1.38,0.26,0.85,5000.0,22.0,973,973.0,0.0,200.0,,3.94,10.1111/jace.18804
114,ZnO,wurtzite,1.38,0.26,0.45,100.0,8.6,773,773.0,-0.0,400.0,,4.65,10.1016/j.actamat.2015.04.018
115,ZnO,wurtzite,1.38,0.26,0.45,500.0,13.0,873,873.0,-0.0,250.0,,31.49,10.1016/j.actamat.2015.04.018
116,ZnO,wurtzite,1.38,0.26,0.45,500.0,21.2,973,973.0,-0.0,150.0,,34.95,10.1016/j.actamat.2015.04.018
117,ZnO,wurtzite,1.38,0.26,0.45,500.0,9.3,823,823.0,-0.0,350.0,,30.65,10.1016/j.actamat.2015.04.018
118,GDC,fluorite,1.38,0.26,0.35,500.0,44.2,873,873.0,0.0,100.0,,47.61,10.1111/jace.17847
119,GDC,fluorite,1.38,0.26,0.35,500.0,57.4,973,973.0,0.0,75.0,,57.61,10.1111/jace.17847
120,GDC,fluorite,1.38,0.26,0.91,500.0,87.4,1073,1073.0,-0.0,50.0,,0.13,10.1111/jace.17847
121,GDC,fluorite,1.38,0.26,0.49,2500.0,43.5,923,923.0,-0.0,100.0,,52.66,10.1111/jace.17847
122,GDC,fluorite,1.38,0.26,0.91,250.0,59.0,1023,1023.0,-0.0,75.0,,0.06,10.1111/jace.17847
123,WC,carbide,0.31,0.83,0.5,500.0,184.2,1073,1073.0,-0.0,150.0,,33.56,10.3390/ma14247655
124,WC,carbide,0.31,0.83,0.75,5000.0,269.9,1173,1173.0,0.0,100.0,,29.88,10.3390/ma14247655
125,WC,carbide,0.31,0.83,0.75,2000.0,329.2,1273,1273.0,-0.0,80.0,,17.13,10.3390/ma14247655
126,WC,carbide,0.31,0.83,0.75,5000.0,227.6,1123,1123.0,0.0,120.0,,25.77,10.3390/ma14247655
127,WC,carbide,0.31,0.83,0.75,5000.0,296.2,1223,1223.0,0.0,90.0,,36.43,10.3390/ma14247655
128,SrTiO₃ (undoped),perovskite,1.5,0.2,0.4,10.0,5.3,1073,1073.0,0.0,600.0,,7.92,10.1016/j.scriptamat.2016.03.001
129,SrTiO₃ (undoped),perovskite,1.5,0.2,1.0,1000.0,6.3,1173,1173.0,0.0,500.0,,2.52,10.1016/j.scriptamat.2016.03.001
130,SrTiO₃ (undoped),perovskite,1.5,0.2,0.3,1.0,5.8,1123,1123.0,-0.0,550.0,,2.47,10.1016/j.scriptamat.2016.03.001
131,SrTiO₃ (undoped),perovskite,1.5,0.2,0.4,10.0,4.6,1023,1023.0,0.0,700.0,,7.48,10.1016/j.scriptamat.2016.03.001
132,SrTiO₃ (undoped),perovskite,1.5,0.2,0.8,100.0,7.8,1223,1223.0,0.0,400.0,,2.01,10.1016/j.scriptamat.2016.03.001
